"","dhsclust","geocode","urban","stratum","domain_code","domain","province_code","province","district_code","district","commune_code","commune","village_code","village","ea_num","ea_num_hh","ea_sp","total_hh","num_eas_total","num_eas_selected","stratum_number","selection_prob","sampling_weight","dhslat","dhslon","geometry"
"40",248,810160801,2,3,6,"KANDAL",8,"KANDAL",10,"S'ANG",16,"TUEK VIL",8,"PREAEK REANG",1,156,0.014979,218700,2304,21,12,0.25,4,11.341347,104.997465,c(104.997465, 11.341347)
"41",261,906030301,2,4,17,"KOH KONG/PREAH SIHANOUK",9,"KOH KONG",6,"SRAE AMBEL",3,"CHI KHA LEU",3,"TA NI",1,100,0.039467,43074,429,17,34,0.154545455,6.470588235,11.132035,103.653313,c(103.653313, 11.132035)
"42",274,1002100501,1,5,7,"KRATIE",10,"KRATIE",2,"KRONG KRACHEH",10,"OU RUESSEI",5,"SRAE SDAU",1,118,0.142761,7439,72,9,13,0.090909091,11,12.481839,106.028814,c(106.028814, 12.481839)
"43",281,1004010202,2,5,7,"KRATIE",10,"KRATIE",4,"SAMBOUR",1,"BOENG CHAR",2,"KAMPONG ROTEH",2,107,0.040668,57884,579,22,14,0.2,5,13.012345,105.970639,c(105.970639, 13.012345)
"44",284,1004080103,2,5,7,"KRATIE",10,"KRATIE",4,"SAMBOUR",8,"SANDAN",1,"THMEI",3,98,0.037247,57884,579,22,14,0.2,5,12.687612,106.040479,c(106.040479, 12.687612)
"45",285,1004100402,2,5,7,"KRATIE",10,"KRATIE",4,"SAMBOUR",10,"VOADTHANAK",4,"TA NGUON",2,84,0.031926,57884,579,22,14,0.2,5,12.72904,105.997632,c(105.997632, 12.72904)
"46",289,1005050102,2,5,7,"KRATIE",10,"KRATIE",5,"SNUOL",5,"SVAY CHREAH",1,"THNAL",2,99,0.037627,57884,579,22,14,0.2,5,12.288246,106.293056,c(106.293056, 12.288246)
"47",305,1201011201,1,1,8,"PHNOM PENH",12,"PHNOM PENH",1,"CHAMKAR MON",1,"TONLE BASAK",12,"PHUM 12",1,111,0.016658,233218,1900,35,15,0.514285714,1.944444444,11.531976,104.934891,c(104.934891, 11.531976)
"48",306,1201040103,1,1,8,"PHNOM PENH",12,"PHNOM PENH",1,"CHAMKAR MON",4,"BOENG KENG KANG BEI",1,"PHUM 1",3,184,0.027614,233218,1900,35,15,0.514285714,1.944444444,11.537191,104.919639,c(104.919639, 11.537191)
"49",308,1201090104,1,1,8,"PHNOM PENH",12,"PHNOM PENH",1,"CHAMKAR MON",9,"TUOL TUMPUNG TI PIR",1,"PHUM 1",4,139,0.02086,233218,1900,35,15,0.514285714,1.944444444,11.535244,104.922964,c(104.922964, 11.535244)
"50",312,1202100702,1,1,8,"PHNOM PENH",12,"PHNOM PENH",2,"DOUN PENH",10,"SRAH CHAK",7,"PHUM 7",2,117,0.017559,233218,1900,35,15,0.514285714,1.944444444,11.576974,104.916473,c(104.916473, 11.576974)
"51",314,1203050201,1,1,8,"PHNOM PENH",12,"PHNOM PENH",3,"PRAMPIR MEAKKAKRA",5,"MONOUROM",2,"PHUM 2",1,107,0.016058,233218,1900,35,15,0.514285714,1.944444444,11.563496,104.918842,c(104.918842, 11.563496)
"52",316,1204020201,1,1,8,"PHNOM PENH",12,"PHNOM PENH",4,"TUOL KOUK",2,"PHSAR DEPOU TI PIR",2,"PHUM 2",1,102,0.015308,233218,1900,35,15,0.514285714,1.944444444,11.556048,104.90059,c(104.90059, 11.556048)
"53",317,1204050401,1,1,8,"PHNOM PENH",12,"PHNOM PENH",4,"TUOL KOUK",5,"TUEK L'AK TI PIR",4,"PHUM 4",1,87,0.013056,233218,1900,35,15,0.514285714,1.944444444,11.566643,104.908614,c(104.908614, 11.566643)
"54",318,1204070102,1,1,8,"PHNOM PENH",12,"PHNOM PENH",4,"TUOL KOUK",7,"BOENG KAK TI MUOY",1,"PHUM 1",2,56,0.008404,233218,1900,35,15,0.514285714,1.944444444,11.58347,104.901725,c(104.901725, 11.58347)
"55",319,1204081902,1,1,8,"PHNOM PENH",12,"PHNOM PENH",4,"TUOL KOUK",8,"BOENG KAK TI PIR",19,"PHUM 19",2,127,0.019059,233218,1900,35,15,0.514285714,1.944444444,11.572435,104.906633,c(104.906633, 11.572435)
"56",322,1205040501,2,1,8,"PHNOM PENH",12,"PHNOM PENH",5,"DANGKAO",4,"PHLEUNG CHHEH ROTEH",5,"PHUM PHLEUNG CHHEH ROTEH LECH",1,82,0.018873,17379,195,4,16,0.5,2,11.520282,104.809786,c(104.809786, 11.520282)
"57",323,1205050201,1,1,8,"PHNOM PENH",12,"PHNOM PENH",5,"DANGKAO",5,"CHAOM CHAU",2,"PHUM DAMNAK TRAYEUNG",1,203,0.030465,233218,1900,35,15,0.514285714,1.944444444,11.508272,104.846954,c(104.846954, 11.508272)
"58",324,1205052102,1,1,8,"PHNOM PENH",12,"PHNOM PENH",5,"DANGKAO",5,"CHAOM CHAU",21,"PHUM TRAPEANG THLOENG",2,120,0.018009,233218,1900,35,15,0.514285714,1.944444444,11.506433,104.841072,c(104.841072, 11.506433)
"59",325,1205060702,1,1,8,"PHNOM PENH",12,"PHNOM PENH",5,"DANGKAO",6,"KAKAB",7,"PHUM TA NGUON",2,365,0.054777,233218,1900,35,15,0.514285714,1.944444444,11.560545,104.859289,c(104.859289, 11.560545)
"60",327,1205130501,2,1,8,"PHNOM PENH",12,"PHNOM PENH",5,"DANGKAO",13,"PRATEAH LANG",5,"PHUM KOUK KHSACH",1,109,0.025088,17379,195,4,16,0.5,2,11.456008,104.812285,c(104.812285, 11.456008)
"61",330,1206010715,1,1,8,"PHNOM PENH",12,"PHNOM PENH",6,"MEAN CHEY",1,"STUENG MEAN CHEY",7,"PHUM DAMNAK THUM",15,124,0.018609,233218,1900,35,15,0.514285714,1.944444444,11.528852,104.887013,c(104.887013, 11.528852)
"62",332,1206030206,1,1,8,"PHNOM PENH",12,"PHNOM PENH",6,"MEAN CHEY",3,"PREAEK PRA",2,"PHUM PREAH PONLEA",6,124,0.018609,233218,1900,35,15,0.514285714,1.944444444,11.50936,104.942218,c(104.942218, 11.50936)
"63",334,1206070108,1,1,8,"PHNOM PENH",12,"PHNOM PENH",6,"MEAN CHEY",7,"CHAK ANGRAE KRAOM",1,"PHUM TUOL ROKA",8,256,0.038419,233218,1900,35,15,0.514285714,1.944444444,11.510731,104.946988,c(104.946988, 11.510731)
"64",336,1207020228,1,1,8,"PHNOM PENH",12,"PHNOM PENH",7,"RUESSEI KAEV",2,"TUOL SANGKAE",2,"PHUM TUOL SANGKAE",28,136,0.02041,233218,1900,35,15,0.514285714,1.944444444,11.593414,104.924902,c(104.924902, 11.593414)
"65",340,1208010203,1,1,8,"PHNOM PENH",12,"PHNOM PENH",8,"SAENSOKH",1,"PHNOM PENH THMEI",2,"PHUM POUNG PEAY",3,84,0.012606,233218,1900,35,15,0.514285714,1.944444444,11.575457,104.885141,c(104.885141, 11.575457)
"66",343,1208030501,1,1,8,"PHNOM PENH",12,"PHNOM PENH",8,"SAENSOKH",3,"KHMUONH",5,"PHUM TRAPEANG RANG THMEI",1,105,0.015758,233218,1900,35,15,0.514285714,1.944444444,11.63726,104.848534,c(104.848534, 11.63726)
"67",346,1302050301,2,5,18,"PREAH VIHEAR/STUNG TRENG",13,"PREAH VIHEAR",2,"CHHAEB",5,"MLU PREY MUOY",3,"POU TEAB",1,110,0.049658,48733,533,22,36,0.2,5,13.825513,105.261917,c(105.261917, 13.825513)
"68",350,1304040301,2,5,18,"PREAH VIHEAR/STUNG TRENG",13,"PREAH VIHEAR",4,"KULEAEN",4,"PHNUM PENH",3,"SRABAL",1,127,0.057333,48733,533,22,36,0.2,5,13.799157,104.747258,c(104.747258, 13.799157)
"69",361,1401041001,2,2,9,"PREY VENG",14,"PREY VENG",1,"BA PHNUM",4,"REAKS CHEY",10,"CHRUOL THUM",1,98,0.012065,219303,2351,27,18,0.222222222,4.5,11.328379,105.409918,c(105.409918, 11.328379)
"70",364,1402061402,2,2,9,"PREY VENG",14,"PREY VENG",2,"KAMCHAY MEAR",6,"SMAONG KHANG CHEUNG",14,"POUN",2,91,0.011204,219303,2351,27,18,0.222222222,4.5,11.545519,105.680344,c(105.680344, 11.545519)
"71",365,1403021004,2,2,9,"PREY VENG",14,"PREY VENG",3,"KAMPONG TRABAEK",2,"CHAM",10,"KRANG LEAV",4,152,0.018714,219303,2351,27,18,0.222222222,4.5,10.985574,105.601145,c(105.601145, 10.985574)
"72",374,1407010102,2,2,9,"PREY VENG",14,"PREY VENG",7,"PEAM RO",1,"BA BAONG",1,"PONLEY",2,203,0.024993,219303,2351,27,18,0.222222222,4.5,11.380101,105.32553,c(105.32553, 11.380101)
"73",378,1407080303,2,2,9,"PREY VENG",14,"PREY VENG",7,"PEAM RO",8,"PREY KANDIENG",3,"PREY ANGKUNH",3,108,0.013297,219303,2351,27,18,0.222222222,4.5,11.368714,105.370588,c(105.370588, 11.368714)
"74",379,1408030502,2,2,9,"PREY VENG",14,"PREY VENG",8,"PEA REANG",3,"KAMPONG PRANG",5,"LVEA KAONG",2,117,0.014405,219303,2351,27,18,0.222222222,4.5,11.634902,105.120181,c(105.120181, 11.634902)
"75",382,1409021901,2,2,9,"PREY VENG",14,"PREY VENG",9,"PREAH SDACH",2,"BANTEAY CHAKREI",19,"POU",1,86,0.010588,219303,2351,27,18,0.222222222,4.5,11.040468,105.349065,c(105.349065, 11.040468)
"76",392,1413070401,2,2,9,"PREY VENG",14,"PREY VENG",13,"SVAY ANTOR",7,"POPUEUS",4,"THNAL CHEY",1,135,0.016621,219303,2351,27,18,0.222222222,4.5,11.561447,105.363974,c(105.363974, 11.561447)
"77",399,1501080203,2,4,10,"PURSAT",15,"PURSAT",1,"BAKAN",8,"SVAY DOUN KAEV",2,"SVAY DOUN KAEV MUOY",3,98,0.028889,78023,836,23,20,0.154545455,6.470588235,12.707274,103.651294,c(103.651294, 12.707274)
"78",402,1502030301,2,4,10,"PURSAT",15,"PURSAT",2,"KANDIENG",3,"KANDIENG",3,"SVAY YEANG",1,63,0.018571,78023,836,23,20,0.154545455,6.470588235,12.580189,103.946393,c(103.946393, 12.580189)
"79",408,1503030201,2,4,10,"PURSAT",15,"PURSAT",3,"KRAKOR",3,"BOENG KANTUOT",2,"KANDOL SA",1,131,0.038617,78023,836,23,20,0.154545455,6.470588235,12.526127,104.071011,c(104.071011, 12.526127)
"80",414,1504040201,2,4,10,"PURSAT",15,"PURSAT",4,"PHNUM KRAVANH",4,"PRONGIL",2,"OU SRAV",1,106,0.031247,78023,836,23,20,0.154545455,6.470588235,12.178199,103.905708,c(103.905708, 12.178199)
"81",415,1504060305,2,4,10,"PURSAT",15,"PURSAT",4,"PHNUM KRAVANH",6,"SANTREAE",3,"KSETR BOUREI",5,75,0.022109,78023,836,23,20,0.154545455,6.470588235,12.045702,103.835927,c(103.835927, 12.045702)
"82",423,1505081001,2,4,10,"PURSAT",15,"PURSAT",5,"KRONG PURSAT",8,"SANGKAT BANTEAY DEI",10,"BANTEAY DEI LEU",1,65,0.019161,78023,836,23,20,0.154545455,6.470588235,12.535501,103.886774,c(103.886774, 12.535501)
"83",435,1603040201,2,5,19,"MONDUL KIRI/RATANAK KIRI",16,"RATANAK KIRI",3,"BAR KAEV",4,"LUNG KHUNG",2,"PA AR",1,117,0.07673,35071,433,23,38,0.2,5,13.644557,107.132402,c(107.132402, 13.644557)
"84",447,1701031101,2,6,11,"SIEMREAP",17,"SIEMREAP",1,"ANGKOR CHUM",3,"KOUK DOUNG",11,"KOUK SNUOL",1,65,0.008929,145585,1530,20,22,0.034090909,29.33333333,13.697069,103.773112,c(103.773112, 13.697069)
"85",486,1801040307,1,4,17,"KOH KONG/PREAH SIHANOUK",18,"PREAH SIHANOUK",1,"KRONG PREAH SIHANOUK",4,"SANGKAT BUON",3,"PHUM BEI",7,138,0.080395,25748,184,15,33,0.063829787,15.66666667,10.613502,103.530113,c(103.530113, 10.613502)
"86",499,1902010102,2,5,18,"PREAH VIHEAR/STUNG TRENG",19,"STUNG TRENG",2,"SIEM BOUK",1,"KAOH PREAH",1,"KAOH PREAH",2,104,0.04695,48733,533,22,36,0.2,5,13.305652,105.978836,c(105.978836, 13.305652)
"87",501,1903030102,2,5,18,"PREAH VIHEAR/STUNG TRENG",19,"STUNG TRENG",3,"SIEM PANG",3,"SANTEPHEAP",1,"KIRIVONGSA LEU",2,57,0.025732,48733,533,22,36,0.2,5,14.057599,106.584644,c(106.584644, 14.057599)
"88",504,1904010301,1,5,18,"PREAH VIHEAR/STUNG TRENG",19,"STUNG TRENG",4,"KRONG STUENG TRAENG",1,"STUENG TRAENG",3,"KANDAL",1,123,0.20871,5304,47,9,35,0.090909091,11,13.521644,105.992905,c(105.992905, 13.521644)
"89",511,1905100101,2,5,18,"PREAH VIHEAR/STUNG TRENG",19,"STUNG TRENG",5,"THALA BARIVAT",10,"SRAE RUESSEI",1,"SRAE RUESSEI",1,106,0.047853,48733,533,22,36,0.2,5,13.582171,105.90364,c(105.90364, 13.582171)
"90",519,2003100301,2,2,12,"SVAY RIENG",20,"SVAY RIENG",3,"RUMDUOL",10,"THNA THNONG",3,"THNA",1,85,0.021404,111196,1214,28,24,0.222222222,4.5,11.232571,105.859547,c(105.859547, 11.232571)
"91",530,2005100203,2,2,12,"SVAY RIENG",20,"SVAY RIENG",5,"SVAY CHRUM",10,"KRAOL KOU",2,"PREY NHAY",3,114,0.028706,111196,1214,28,24,0.222222222,4.5,11.156643,105.646126,c(105.646126, 11.156643)
"92",533,2005161002,2,2,12,"SVAY RIENG",20,"SVAY RIENG",5,"SVAY CHRUM",16,"SVAY YEA",10,"SIKAR",2,118,0.029713,111196,1214,28,24,0.222222222,4.5,11.236788,105.670342,c(105.670342, 11.236788)
"93",535,2006010203,1,2,12,"SVAY RIENG",20,"SVAY RIENG",6,"KRONG SVAY RIENG",1,"SVAY RIENG",2,"VEAL YON",3,144,0.24256,3562,34,6,23,0.1,10,11.088693,105.799328,c(105.799328, 11.088693)
"94",545,2008040201,2,2,12,"SVAY RIENG",20,"SVAY RIENG",8,"KRONG BAVET",4,"SANGKAT PRASAT",2,"KANDAL",1,91,0.022914,111196,1214,28,24,0.222222222,4.5,11.005526,106.168144,c(106.168144, 11.005526)
"95",548,2102060301,2,3,13,"TAKEO",21,"TAKEO",2,"BATI",6,"KRANG LEAV",3,"PREY TRACH",1,105,0.016238,181054,1939,28,26,0.25,4,11.231344,104.744726,c(104.744726, 11.231344)
"96",549,2102090502,2,3,13,"TAKEO",21,"TAKEO",2,"BATI",9,"PEA REAM",5,"TRAPEANG YOUNG",2,118,0.018249,181054,1939,28,26,0.25,4,11.224479,104.846902,c(104.846902, 11.224479)
"97",560,2107010301,2,3,13,"TAKEO",21,"TAKEO",7,"SAMRAONG",1,"BOENG TRANH KHANG CHEUNG",3,"CHHEU TEAL",1,117,0.018094,181054,1939,28,26,0.25,4,11.126463,104.74249,c(104.74249, 11.126463)
"98",563,2107091102,2,3,13,"TAKEO",21,"TAKEO",7,"SAMRAONG",9,"SOENGH",11,"SOENGH",2,83,0.012836,181054,1939,28,26,0.25,4,11.142312,104.789301,c(104.789301, 11.142312)
"99",573,2109130503,2,3,13,"TAKEO",21,"TAKEO",9,"TRAM KAK",13,"TRAM KAK",5,"TRAPEANG KAES",3,95,0.014692,181054,1939,28,26,0.25,4,10.903015,104.588614,c(104.588614, 10.903015)
"100",589,2203020501,2,6,14,"ODDAR MEANCHEY",22,"ODDAR MEANCHEY",3,"CHONG KAL",2,"CHONG KAL",5,"CHHUK",1,94,0.059442,34790,395,22,28,0.034090909,29.33333333,13.949513,103.59373,c(103.59373, 13.949513)
